,Date,GC=F,ETH-USD,^FTSE,AVDO-USD,GC=F_z_norm,ETH-USD_z_norm,^FTSE_z_norm,AVDO-USD_z_norm
2198,2022-10-27,1660.699951171875,1514.3748779296875,7073.7001953125,767.200439453125,-1.9690790929905686,-0.5885958079773906,-1.713297642743182,-0.5972338892602682
2199,2022-10-28,1639.5999755859375,1555.4779052734375,7047.7001953125,767.2406005859375,-2.1636550388833595,-0.5057735518379923,-1.8222050538692267,-0.5971217766275879
2200,2022-10-31,1635.9000244140625,1572.7144775390625,7094.5,792.4180908203125,-2.1977745806853193,-0.47104200296180193,-1.6261725319569131,-0.5268370382056081
2201,2022-11-01,1645.0,1579.70458984375,7186.2001953125,677.5926513671875,-2.1138580685536574,-0.45695698516249816,-1.24206365229395,-0.8473803449857692
2202,2022-11-02,1645.699951171875,1519.7117919921875,7144.10009765625,719.0612182617188,-2.1074033851919802,-0.577841970801805,-1.4184102924437905,-0.7316179179215669
2203,2022-11-03,1627.300048828125,1531.541748046875,7188.60009765625,584.2772216796875,-2.277080283076934,-0.5540047083470205,-1.2320110695549833,-1.107876943545304
2204,2022-11-04,1672.5,1645.0933837890625,7334.7998046875,893.6456909179688,-1.8602635328510697,-0.32519911254904704,-0.6196175464719205,-0.24425305832048325
2205,2022-11-07,1676.5,1568.59130859375,7300.0,792.8986206054688,-1.8233770549306931,-0.47935015388311386,-0.7653851094029828,-0.5254956054440707
2206,2022-11-08,1712.0999755859375,1332.8355712890625,7306.10009765625,800.6546020507812,-1.4950876265765378,-0.9543959917014461,-0.7398333461968966,-0.5038442366215639
2207,2022-11-09,1710.0999755859375,1100.1697998046875,7296.2998046875,828.089111328125,-1.513530865536726,-1.4232155742492933,-0.780884289870102,-0.42725887047331834
2208,2022-11-10,1750.300048828125,1299.464599609375,7375.2998046875,731.9015502929688,-1.1428210870253603,-1.0216382203811287,-0.4499733099101969,-0.6957732261088931
2209,2022-11-11,1766.0,1287.2210693359375,7318.0,809.1808471679688,-0.9980421114622716,-1.0463088314258235,-0.6899876709311056,-0.4800426224731836
2210,2022-11-14,1773.5999755859375,1241.604248046875,7385.2001953125,719.255126953125,-0.9279580285507508,-1.1382263445927066,-0.408503082521531,-0.7310766081434132
2211,2022-11-15,1773.800048828125,1251.7362060546875,7369.39990234375,622.2830200195312,-0.926113029243149,-1.1178105339931919,-0.47468650568536214,-1.0017810789468784
2212,2022-11-16,1773.0,1215.6025390625,7351.2001953125,733.6151123046875,-0.9334907751016129,-1.1906195706087817,-0.5509204663017433,-0.6909896969865559
